Data;Valor
Total do dia 01/09/2019:;23.354,86
Total do dia 02/09/2019:;31.375,18
Total do dia 03/09/2019:;25.353,35
Total do dia 04/09/2019:;36.472,20
Total do dia 05/09/2019:;32.900,14
Total do dia 06/09/2019:;55.904,45
Total do dia 08/09/2019:;22.137,06
Total do dia 09/09/2019:;34.679,81
Total do dia 10/09/2019:;21.412,88
Total do dia 11/09/2019:;24.032,14
Total do dia 12/09/2019:;19.760,91
Total do dia 13/09/2019:;23.325,35
Total do dia 14/09/2019:;32.711,21
Total do dia 15/09/2019:;15.894,37
Total do dia 16/09/2019:;15.291,46
Total do dia 17/09/2019:;19.162,80
Total do dia 18/09/2019:;20.591,96
Total do dia 19/09/2019:;16.247,57
Total do dia 20/09/2019:;20.941,32
Total do dia 21/09/2019:;24.804,19
Total do dia 22/09/2019:;14.514,87
Total do dia 23/09/2019:;25.267,51
Total do dia 24/09/2019:;23.489,70
Total do dia 25/09/2019:;24.656,66
Total do dia 26/09/2019:;32.952,82
Total do dia 27/09/2019:;37.060,43
Total do dia 28/09/2019:;45.276,71
Total do dia 29/09/2019:;17.773,85
Total do dia 30/09/2019:;29.755,39
